	Name	Reactants	SMARTS	Products	Comments
100	rule0002_011	Any;NAD_CoF	[#6;$([#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R](-&@[#6&R]-&@1)-&@[#6&R]-&@[#6&R]-&@[#6&R]1-&@[#6&R]-&@2-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R]-&@1-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@2(-&!@[#8&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R])-&!@[#6&!R])-&!@[#6&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	
101	rule0002_012	Any;NAD_CoF	[#6;$([#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R]2-&@[#6&R](-&@[#6&R]-&@1)-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@[#6&R]1-&@[#6&R](-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@2)(-&!@[#6&!R])-&@[#6&R](-&@[#6&R]-&@[#6&R]-&@1)-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]=&!@[#6&!R])-&!@[#6&!R]);!$([#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R](-&@[#6&R]-&@1)-&@[#6&R]-&@[#6&R]-&@[#6&R]1=&@[#6&R]-&@2-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R]-&@1-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@2-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]=&!@[#6&!R](-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	
102	rule0002_013	Any;NAD_CoF	[#6;$([#6&R]1-&@[#6&R]-&@[#6&R]2-&@[#6&R]-&@[#6&R]-&@[#6&R]3-&@[#6&R](-&@[#6&R]-&@2(-&@[#6&R]-&@[#6&R]-&@1)-&!@[#6&!R])-&@[#6&R]-&@[#6&R]-&@[#6&R]1(-&@[#6&R]-&@3-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@1-&!@[#6&!R](-&!@[#6&!R])-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R]);!$([#6&R]1-&@[#6&R]-&@[#6&R]2-&@[#6&R]-&@[#6&R]-&@[#6&R]3-&@[#6&R](-&@[#6&R]-&@2(-&@[#6&R]-&@[#6&R]-&@1)-&!@[#6&!R])-&@[#6&R]-&@[#6&R]-&@[#6&R]1(-&@[#6&R]-&@3-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@1-&!@[#6&!R](-&!@[#6&!R])-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#16&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R](-&!@[#6&!R])(-&!@[#6&!R])-&!@[#6&!R]-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#7&R]:&@[#6&R]2:&@[#6&R]:&@1:&@[#7&R]:&@[#6&R]:&@[#7&R]:&@[#6&R]:&@2-&!@[#7&!R])-&!@[#6&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	A7AZH2;C8WGQ3;C8WJW0;C8WMP0;G1T465;J7M9D0;J7MBS9;P17516;P19337;P42330;P52895;P80701;P80702;Q9BPW9;Q9I1X3
103	rule0002_014	Any;NAD_CoF	[#6;$([#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R](-&@[#6&R]-&@1)-&@[#6&R]-&@[#6&R]-&@[#6&R]1=&@[#6&R]-&@2-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R]-&@1-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@2-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R]);!$([#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R](-&@[#6&R]-&@1)-&@[#6&R]-&@[#6&R]-&@[#6&R]1=&@[#6&R]-&@2-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R]-&@1-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@2-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]=&!@[#6&!R](-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R])-&!@[#6&!R]);!$([#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R]2-&@[#6&R](-&@[#6&R]-&@1)-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@[#6&R]1-&@[#6&R](-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@2)(-&!@[#6&!R])-&@[#6&R](-&@[#6&R]-&@[#6&R]-&@1)-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]=&!@[#6&!R])-&!@[#6&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	O74732;Q12452;Q6BNP0;Q6CE88;Q6CJC2;Q74ZZ0;Q874K0
104	rule0002_015	Any;NAD_CoF	[#6;$([#6&R]1-&@[#6&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#6&!R]=&!@[#6&!R]-&!@[#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#6&!R]=&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	A9CQL8;E2IGW3;P05980;P15121;P16116;P22045;P42330;P52897;Q2TJA5;Q4DJ07;Q5FYA7;Q9GV41
105	rule0002_016	Any;NAD_CoF	[#6;$([#6&R]1-&@[#6&R]2-&@[#6&R]3(-&@[#6&R]-&@[#6&R]-&@[#6&R](-&@[#6&R]=&@[#6&R]-&@3-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@2-&@[#6&R]2-&@[#6&R](-&@[#6&R]-&@1)(-&!@[#6&!R])-&@[#6&R](-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&@[#6&R]-&@[#6&R]-&@2)=&!@[#8&!R])-&!@[#6&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	CYP79D4;P28845;P50168;P50172;P51661;P51975;Q95L61;SULT1A2
106	rule0002_017	Any;NAD_CoF	[#6;$([#6&!R](-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R])-&!@[#6&!R]=&!@[#6&!R]-&!@[#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1-&!@[#6&!R]-&!@[#6&!R]=&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	E2QX67
107	rule0002_018	Any;NAD_CoF	[#6;$([#6&!R](-&!@[#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R]2-&@[#6&R]-&@1(-&@[#6&R]-&@[#6&R]-&@[#6&R]1-&@[#6&R]-&@2-&@[#6&R]-&@[#6&R]-&@[#6&R]2-&@[#6&R]-&@1(-&!@[#6&!R])-&@[#6&R]-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@2)-&!@[#8&!R])-&!@[#6&!R])-&!@[#6&!R]-&!@[#8&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	
108	rule0002_019	Any;NAD_CoF	[#6;$([#6&R]1-&@[#6&R]-&@[#6&R]2-&@[#6&R]-&@[#6&R]-&@[#6&R]3-&@[#6&R](-&@[#6&R]-&@2(-&@[#6&R]-&@[#6&R]-&@1)-&!@[#6&!R])-&@[#6&R]-&@[#6&R]-&@[#6&R]1(-&@[#6&R]-&@3-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@1-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#6&!R]);!$([#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R](-&@[#6&R]-&@1)-&@[#6&R]-&@[#6&R]-&@[#6&R]1-&@[#6&R]-&@2-&@[#6&R]-&@[#6&R]-&@[#6&R]2(-&@[#6&R]-&@1-&@[#6&R]-&@[#6&R]-&@[#6&R]-&@2(-&!@[#8&!R])-&!@[#6&!R](=&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R])-&!@[#6&!R])-&!@[#6&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	A0A097ZMY7;A0A097ZMZ1;G1T465;J7M9D0;J7MBS9;P52895;Q91WR5;Q93Y47
109	rule0002_020	Any;NAD_CoF	[#6;$([#6&!R](-&!@[#6&!R])-&!@[#6&R]1-&@[#6&R]-&@[#6&R]-&@[#6&R]2-&@[#6&R]-&@1(-&@[#6&R]-&@[#6&R]-&@[#6&R]1-&@[#6&R]-&@2-&@[#6&R]-&@[#6&R]-&@[#6&R]2-&@[#6&R]-&@1(-&@[#6&R]-&@[#6&R]-&@[#6&R](-&@[#6&R]=&@2)=&!@[#8&!R])-&!@[#6&!R])-&!@[#6&!R]):1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#6:1]=[#8:2]	NADH_CoF;Any	D0VDT4;P17516;P51652;P80508;Q04828;Q1XAA8;Q7M1A0;Q8K023;Q8UVJ2
